Extra options: []
Measured: 10 times

Total Average: 65.426300 msec
Total Max:     80.154000 msec
Total Min:     53.202000 msec

  AVERAGE       MAX       MIN
------------------------------
47.416500 58.620000 37.096000: /home/raizawa/.config/nvim/init.lua
39.539700 49.978000 33.076000: require('config.lazy')
 7.849100 12.624000  3.997000: require('config.options')
 4.442400  6.157000  3.263000: opening buffers
 3.484100  5.156000  2.077000: require('barbar')
 2.908000  3.917000  1.639000: require('barbar.api')
 2.412300  3.245000  1.289000: require('barbar.bbye')
 2.333400  3.169000  1.247000: require('barbar.state')
 1.895400  2.449000  1.570000: reading ShaDa
 1.707700  2.311000  0.857000: require('barbar.ui.layout')
 1.638600  2.225000  0.820000: require('barbar.icons')
 1.587300  2.376000  1.141000: /home/raizawa/.local/share/nvim/lazy/gitsigns.nvim/plugin/gitsigns.lua
 1.542800  2.570000  1.109000: /home/raizawa/.local/share/nvim/lazy/nightfox.nvim/colors/dawnfox.vim
 1.519800  2.058000  0.748000: require('nvim-web-devicons')
 1.447900  1.953000  0.951000: require('vim.lsp')
 1.348600  1.841000  0.329000: require('vim.treesitter')
 1.318400  1.534000  1.095000: sourcing vimrc file(s)
 1.279400  1.949000  0.761000: /home/raizawa/.local/share/nvim/lazy/diffview.nvim/plugin/diffview.lua
 1.207800  1.846000  0.713000: require('diffview.bootstrap')
 1.174300  1.775000  0.601000: require('hlslens.main')
 1.146000  1.375000  0.932000: require('lazy')
 1.099700  1.501000  0.264000: require('vim.treesitter.languagetree')
 1.078400  1.540000  0.501000: require('nvim-web-devicons.icons-light')
 0.971000  1.400000  0.673000: require('vim.filetype')
 0.968000  1.395000  0.505000: require('hlslens.cmdline')
 0.929200  1.073000  0.785000: --cmd commands
 0.909300  1.353000  0.513000: /home/raizawa/.local/share/nvim/lazy/SmoothCursor.nvim/plugin/smoothcursor.lua
 0.901100  1.033000  0.746000: require('vim._defaults')
 0.847700  1.625000  0.585000: require('mini.icons')
 0.844100  1.281000  0.469000: require('smoothcursor.utils')
 0.810700  1.031000  0.648000: BufEnter autocommands
 0.698600  1.497000  0.412000: require('lualine')
 0.609600  0.993000  0.331000: require('hlslens.render')
 0.600900  0.986000  0.313000: require('diffview.logger')
 0.596600  0.709000  0.505000: /home/raizawa/.local/share/nvim/lazy/vim-fugitive/plugin/fugitive.vim
 0.571100  0.773000  0.160000: require('vim.treesitter.query')
 0.552400  0.669000  0.461000: /nix/store/sn57wwslyh4vq27xwb0h0cza25b90in3-neovim-unwrapped-0.11.1/share/nvim/runtime/plugin/matchit.vim
 0.547000  0.968000  0.355000: require('neoscroll')
 0.537000  0.684000  0.373000: require('lazy.view.commands')
 0.532000  0.637000  0.426000: /home/raizawa/.local/share/nvim/lazy/quick-scope/plugin/quick_scope.vim
 0.503500  0.801000  0.213000: require('nvim-web-devicons.light.icons_by_file_extension')
 0.503300  0.609000  0.370000: require('lazy.core.loader')
 0.486000  0.571000  0.372000: require('vim.lsp.protocol')
 0.469200  0.590000  0.361000: /home/raizawa/.local/share/nvim/lazy/denops.vim/plugin/denops.vim
 0.463900  1.120000  0.218000: require('barbar.events')
 0.432200  0.606000  0.309000: require('lazy.manage')
 0.430800  0.769000  0.223000: require('smoothcursor.callbacks')
 0.414600  0.518000  0.349000: inits 3
 0.393700  0.454000  0.312000: inits 1
 0.377000  0.637000  0.245000: require('gitsigns')
 0.376800  0.454000  0.286000: init lua interpreter
 0.358800  0.898000  0.123000: require('barbar.highlight')
 0.354100  0.852000  0.165000: require('alpha.themes.dashboard')
 0.351900  0.516000  0.242000: require('lazy.manage.runner')
 0.334900  0.510000  0.192000: require('nightfox.config')
 0.321500  0.645000  0.177000: require('overseer')
 0.291166  2.428000  0.002000: nvim_exec2() called at BufWinEnter Autocommands for "*":0
 0.290000  0.742000  0.096000: require('nvim-web-devicons.light.icons_by_filename')
 0.287100  0.774000  0.166000: require('which-key')
 0.276700  0.496000  0.167000: require('gitsigns.highlight')
 0.276300  0.408000  0.134000: require('hlslens')
 0.262400  0.476000  0.120000: require('diffview.async')
 0.261200  0.384000  0.175000: require('barbar.buffer')
 0.228400  0.277000  0.190000: init highlight
 0.222600  0.268000  0.194000: /nix/store/sn57wwslyh4vq27xwb0h0cza25b90in3-neovim-unwrapped-0.11.1/share/nvim/runtime/syntax/syntax.vim
 0.221200  0.369000  0.131000: require('vim.diagnostic')
 0.217800  0.266000  0.170000: require('vim._init_packages')
 0.215100  0.444000  0.052000: require('vim.lsp.log')
 0.212500  0.274000  0.165000: /home/raizawa/.local/share/nvim/lazy/auto-pairs/plugin/auto-pairs.vim
 0.210900  0.345000  0.121000: require('oil.util')
 0.207400  0.329000  0.132000: require('lazy.manage.task')
 0.203300  0.296000  0.048000: require('vim.treesitter._fold')
 0.202200  0.296000  0.160000: require('lazy.core.plugin')
 0.202200  0.312000  0.131000: require('vim.lsp.util')
 0.198800  0.561000  0.068000: require('vim.deprecated.health')
 0.197200  0.401000  0.078000: require('barbar.ui.render')
 0.193300  0.506000  0.095000: require('gitsigns.config')
 0.191500  0.248000  0.128000: require('vim.loader')
 0.180600  0.222000  0.142000: /nix/store/sn57wwslyh4vq27xwb0h0cza25b90in3-neovim-unwrapped-0.11.1/share/nvim/runtime/plugin/rplugin.vim
 0.160400  0.282000  0.088000: require('lazy.core.config')
 0.157100  0.264000  0.072000: require('lazy.stats')
 0.153800  0.250000  0.053000: require('lazy.core.handler')
 0.151700  0.369000  0.086000: require('hlslens.position.range.regex')
 0.150100  0.208000  0.101000: require('oil.fs')
 0.145800  0.173000  0.115000: require('vim._editor')
 0.134400  0.274000  0.068000: require('diffview.utils')
 0.134000  0.180000  0.110000: /nix/store/sn57wwslyh4vq27xwb0h0cza25b90in3-neovim-unwrapped-0.11.1/share/nvim/runtime/plugin/gzip.vim
 0.132200  0.155000  0.110000: event init
 0.129800  0.210000  0.061000: require('alpha')
 0.129400  0.243000  0.055000: require('barbar.fs')
 0.128000  0.196000  0.100000: require('lazy.core.meta')
 0.128000  0.176000  0.104000: nvim_exec2() called at /nix/store/sn57wwslyh4vq27xwb0h0cza25b90in3-neovim-unwrapped-0.11.1/share/nvim/runtime/filetype.lua:0
 0.127700  0.244000  0.040000: /nix/store/sn57wwslyh4vq27xwb0h0cza25b90in3-neovim-unwrapped-0.11.1/share/nvim/runtime/filetype.lua
 0.127400  0.189000  0.084000: require('vim.lsp.buf')
 0.126200  0.254000  0.058000: require('smoothcursor.config')
 0.126100  0.166000  0.097000: /nix/store/sn57wwslyh4vq27xwb0h0cza25b90in3-neovim-unwrapped-0.11.1/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
 0.125100  0.172000  0.068000: require('lazy.core.util')
 0.124800  0.150000  0.095000: require('oil')
 0.124400  0.252000  0.048000: require('hlslens.lib.event')
 0.124000  0.310000  0.061000: require('hlslens.render.floatwin')
 0.122700  0.171000  0.082000: require('barbar.config')
 0.121300  0.153000  0.091000: /home/raizawa/.local/share/nvim/lazy/quick-scope/autoload/quick_scope.vim
 0.118500  0.572000  0.052000: require('which-key.config')
 0.116200  0.158000  0.099000: /home/raizawa/.local/share/nvim/lazy/denops.vim/autoload/denops.vim
 0.116100  0.160000  0.099000: nvim_exec2()
 0.115300  0.143000  0.100000: require('vim.lsp.rpc')
 0.113200  0.168000  0.074000: require('vim.lsp._changetracking')
 0.108200  0.130000  0.084000: require('vim.uri')
 0.106600  0.170000  0.053000: require('nvim-web-devicons.light.icons_by_operating_system')
 0.104300  0.256000  0.028000: require('hlslens.utils')
 0.102500  0.140000  0.087000: /nix/store/sn57wwslyh4vq27xwb0h0cza25b90in3-neovim-unwrapped-0.11.1/share/nvim/runtime/plugin/zipPlugin.vim
 0.102300  0.240000  0.027000: require('barbar.ui.nodes')
 0.100800  0.142000  0.054000: require('lazy.core.handler.keys')
 0.097100  0.301000  0.044000: require('hlslens.wffi')
 0.096800  0.155000  0.048000: require('nvim-web-devicons.filetypes')
 0.096200  0.172000  0.040000: require('lazy.core.handler.ft')
 0.096000  0.325000  0.030000: require('neoscroll.scroll')
 0.092300  0.108000  0.075000: /nix/store/sn57wwslyh4vq27xwb0h0cza25b90in3-neovim-unwrapped-0.11.1/share/nvim/runtime/plugin/matchparen.vim
 0.092100  0.132000  0.031000: require('vim.treesitter._range')
 0.091000  0.168000  0.063000: require('lazy.core.handler.event')
 0.088600  0.171000  0.037000: require('lualine_require')
 0.088100  0.332000  0.038000: require('barbar.animate')
 0.087700  0.257000  0.038000: require('barbar.constants')
 0.083900  0.182000  0.035000: require('hlslens.position')
 0.083600  0.227000  0.038000: require('vim.health')
 0.083500  0.225000  0.045000: require('gitsigns.debounce')
 0.081900  0.208000  0.029000: require('diffview.ffi')
 0.081500  0.145000  0.041000: require('vim.iter')
 0.081300  0.097000  0.065000: early init
 0.079600  0.103000  0.038000: require('vim.treesitter.language')
 0.078500  0.117000  0.061000: require('gitsigns.debug.log')
 0.076700  0.112000  0.040000: require('diffview.control')
 0.076300  0.169000  0.045000: /nix/store/sn57wwslyh4vq27xwb0h0cza25b90in3-neovim-unwrapped-0.11.1/share/nvim/runtime/plugin/man.lua
 0.075500  0.238000  0.024000: require('smoothcursor.debug')
 0.072300  0.149000  0.043000: require('lazy.async')
 0.072200  0.142000  0.042000: require('nightfox.util')
 0.069600  0.118000  0.037000: require('neoscroll.config')
 0.069100  0.105000  0.039000: require('diffview.events')
 0.067200  0.085000  0.056000: /nix/store/sn57wwslyh4vq27xwb0h0cza25b90in3-neovim-unwrapped-0.11.1/share/nvim/runtime/plugin/tarPlugin.vim
 0.066500  0.119000  0.029000: require('smoothcursor.callbacks.timer')
 0.066011  5.789000  0.001000: nvim_exec2() called at /home/raizawa/.config/nvim/init.lua:0
 0.066000  0.165000  0.025000: require('hlslens.render.extmark')
 0.065400  0.164000  0.039000: require('lualine.utils.mode')
 0.065200  0.137000  0.023000: require('oil.constants')
 0.065000  0.113000  0.044000: require('lazy.core.handler.cmd')
 0.064800  0.095000  0.045000: require('nightfox')
 0.063800  0.136000  0.036000: require('lazy.core.fragments')
 0.063400  0.095000  0.038000: require('oil.log')
 0.063400  0.124000  0.036000: /home/raizawa/.local/share/nvim/lazy/barbar.nvim/plugin/barbar.lua
 0.063100  0.191000  0.027000: require('hlslens.highlight')
 0.062300  0.144000  0.034000: require('nvim-web-devicons.light.icons_by_window_manager')
 0.062000  0.144000  0.030000: require('diffview.lazy')
 0.061200  0.110000  0.028000: require('hlslens.cmdline.parser')
 0.060500  0.115000  0.043000: /nix/store/sn57wwslyh4vq27xwb0h0cza25b90in3-neovim-unwrapped-0.11.1/share/nvim/runtime/plugin/osc52.lua
 0.060300  0.090000  0.042000: require('lazy.manage.process')
 0.060100  0.102000  0.026000: require('hlslens.config')
 0.059500  0.119000  0.029000: require('smoothcursor.callbacks.buffer')
 0.059300  0.101000  0.038000: require('smoothcursor.callbacks.default')
 0.058900  0.101000  0.038000: require('diffview.oop')
 0.058200  0.069000  0.045000: locale set
 0.057200  0.101000  0.026000: require('nightfox.override')
 0.057100  0.133000  0.021000: require('hlslens.lib.disposable')
 0.056900  0.074000  0.047000: init first window
 0.056800  0.085000  0.042000: require('lazy.pkg')
 0.056300  0.155000  0.023000: require('hlslens.lib.throttle')
 0.056200  0.084000  0.027000: require('barbar.utils.highlight')
 0.056000  0.144000  0.024000: require('hlslens.decorator')
 0.055700  0.079000  0.025000: require('vim.func._memoize')
 0.055100  0.104000  0.025000: require('smoothcursor.init')
 0.053400  0.104000  0.038000: /nix/store/sn57wwslyh4vq27xwb0h0cza25b90in3-neovim-unwrapped-0.11.1/share/nvim/runtime/plugin/tohtml.lua
 0.052500  0.102000  0.024000: require('hlslens.render.winhl')
 0.052200  0.102000  0.036000: require('barbar.jump_mode')
 0.052100  0.063000  0.039000: require('oil.config')
 0.051400  0.091000  0.030000: require('nvim-web-devicons.light.icons_by_desktop_environment')
 0.050900  0.099000  0.026000: require('smoothcursor.matrix_chars')
 0.050400  0.062000  0.042000: /nix/store/sn57wwslyh4vq27xwb0h0cza25b90in3-neovim-unwrapped-0.11.1/share/nvim/runtime/plugin/editorconfig.lua
 0.050400  0.076000  0.026000: require('barbar.utils')
 0.048900  0.085000  0.026000: require('smoothcursor')
 0.048400  0.088000  0.023000: require('hlslens.lib.debounce')
 0.047900  0.079000  0.027000: require('nightfox.lib.collect')
 0.047600  0.089000  0.023000: require('smoothcursor.last_positions')
 0.047600  0.079000  0.028000: require('vim.lsp.sync')
 0.047200  0.073000  0.023000: require('nightfox.lib.hash')
 0.046400  0.055000  0.041000: /nix/store/sn57wwslyh4vq27xwb0h0cza25b90in3-neovim-unwrapped-0.11.1/share/nvim/runtime/syntax/synload.vim
 0.046200  0.061000  0.027000: require('barbar.utils.table')
 0.045400  0.099000  0.022000: require('hlslens.cmdline.fold')
 0.044800  0.055000  0.036000: /nix/store/sn57wwslyh4vq27xwb0h0cza25b90in3-neovim-unwrapped-0.11.1/share/nvim/runtime/plugin/shada.vim
 0.044800  0.084000  0.028000: /home/raizawa/.local/share/nvim/lazy/which-key.nvim/plugin/which-key.lua
 0.044800  0.052000  0.039000: expanding arguments
 0.044500  0.070000  0.029000: require('lazy.terminal')
 0.044200  0.067000  0.023000: require('neoscroll.logic')
 0.044000  0.105000  0.025000: require('barbar.utils.list')
 0.043900  0.066000  0.025000: require('diffview.mock')
 0.043400  0.060000  0.026000: require('neoscroll.window')
 0.043300  0.060000  0.033000: require('vim.lsp._transport')
 0.041900  0.053000  0.031000: require('vim.shared')
 0.040200  0.061000  0.014000: require('vim.fs')
 0.039700  0.056000  0.028000: require('vim._options')
 0.038100  0.055000  0.025000: /home/raizawa/.local/share/nvim/lazy/denops.vim/plugin/denops/debug.vim
 0.037500  0.049000  0.029000: require('oil.ringbuf')
 0.037300  0.047000  0.028000: require('vim.inspect')
 0.036400  0.047000  0.027000: /nix/store/sn57wwslyh4vq27xwb0h0cza25b90in3-neovim-unwrapped-0.11.1/share/nvim/runtime/ftplugin.vim
 0.029000  0.046000  0.022000: /home/raizawa/.local/share/nvim/lazy/nvim-markdown/ftdetect/markdown.vim
 0.028300  0.044000  0.022000: require('vim.func')
 0.025600  0.040000  0.019000: /home/raizawa/.local/share/nvim/lazy/vim-qfreplace/plugin/qfreplace.vim
 0.024500  0.037000  0.016000: /home/raizawa/.local/share/nvim/lazy/nvim-web-devicons/plugin/nvim-web-devicons.vim
 0.023800  0.049000  0.011000: require('ffi')
 0.021900  0.037000  0.015000: /nix/store/sn57wwslyh4vq27xwb0h0cza25b90in3-neovim-unwrapped-0.11.1/share/nvim/runtime/indent.vim
 0.020600  0.033000  0.014000: /home/raizawa/.local/share/nvim/lazy/nvim-hlslens/plugin/hlslens.vim
 0.020000  0.054000  0.013000: inits 2
 0.018300  0.027000  0.013000: /home/raizawa/.local/share/nvim/lazy/nightfox.nvim/plugin/nightfox.vim
 0.015200  0.023000  0.011000: /nix/store/sn57wwslyh4vq27xwb0h0cza25b90in3-neovim-unwrapped-0.11.1/share/nvim/runtime/plugin/spellfile.vim
 0.014500  0.018000  0.012000: /nix/store/sn57wwslyh4vq27xwb0h0cza25b90in3-neovim-unwrapped-0.11.1/share/nvim/runtime/plugin/tutor.vim
 0.011500  0.014000  0.009000: window checked
 0.011400  0.013000  0.010000: /home/raizawa/.local/share/nvim/lazy/typst.vim/ftdetect/typst.vim
 0.010000  0.012000  0.007000: require('vim.keymap')
 0.009500  0.014000  0.007000: /home/raizawa/.local/share/nvim/lazy/vim-fugitive/ftdetect/fugitive.vim
 0.008600  0.028000  0.005000: /nix/store/jfgp5lzwyl66s6fs004j27ad3l6n646z-neovim-0.11.1/rplugin.vim
 0.007800  0.009000  0.005000: clear screen
 0.007500  0.009000  0.006000: /home/raizawa/.local/share/nvim/lazy/denops.vim/autoload/denops/_internal/conf.vim
 0.006500  0.012000  0.004000: require('vim.F')
 0.006100  0.007000  0.005000: init default mappings & autocommands
 0.005400  0.007000  0.004000: --- NVIM STARTED ---
 0.004500  0.005000  0.004000: editing files in windows
 0.004100  0.005000  0.003000: parsing arguments
 0.003300  0.004000  0.002000: --- NVIM STARTING ---
 0.002747  0.028000  0.001000: nvim_exec2() called at ColorScheme Autocommands for "*":0
